,title,Domestic Gross,Year,rating,id,imdbid
0,Mission: Impossible II,215409889,2000,0,5605,120755
1,Gladiator,187705427,2000,0,1163,172495
2,Cast Away,233632142,2000,0,3795,162222
3,What Women Want,182811707,2000,0,1083,207201
4,Dinosaur,137748063,2000,1,7188,130623
5,How the Grinch Stole Christmas,260044825,2000,1,7928,170016
6,Meet the Parents,166244045,2000,0,2562,212338
7,X-Men,157299718,2000,0,101,120903
8,What Lies Beneath,155464351,2000,1,1071,161081
9,Scary Movie,157019771,2000,1,5544,175142
10,Erin Brockovich,125595205,2000,1,452,195685
11,Unbreakable,95011339,2000,0,1114,217869
12,Chicken Run,106834564,2000,1,687,120630
13,Vertical Limit,69243859,2000,0,112,190865
14,Miss Congeniality,106807667,2000,1,655,212346
15,Traffic,124115725,2000,1,7929,181865
16,Hollow Man,73209340,2000,1,78,164052
17,102 Dalmatians,66957026,2000,1,6002,211181
18,Scream 3,89143175,2000,1,4644,134084
19,Chocolat,71509363,2000,1,854,241303
20,Remember the Titans,115654751,2000,1,1598,210945
21,Space Cowboys,90464773,2000,0,6858,186566
22,Coyote Ugly,60786269,2000,1,1093,200550
23,Final Destination,53331147,2000,0,4557,195714
24,Mission to Mars,60883407,2000,0,90,183523
25,Billy Elliot,21995263,2000,1,2939,249462
26,Shanghai Noon,56937502,2000,0,122,184894
27,Romeo Must Die,55973336,2000,0,4377,165929
28,Autumn in New York,37761915,2000,0,7616,174480
29,Bring It On,68379000,2000,1,765,204946
30,Men of Honor,48818921,2000,0,8873,203019
31,Finding Forrester,51804714,2000,0,7542,181536
32,"O Brother, Where Art Thou?",45512588,2000,0,3455,190590
33,28 Days,37170488,2000,1,954,191754
34,Next Friday,57328603,2000,0,7792,195945
35,Little Nicky,39464775,2000,0,3471,185431
36,Bounce,36805288,2000,0,5866,186894
37,Pitch Black,39240659,2000,1,319,134847
38,Hanging Up,36050230,2000,1,6512,162983
39,Almost Famous,32534850,2000,1,877,181875
40,High Fidelity,27287137,2000,0,1006,146882
41,Where the Heart Is,33772838,2000,1,882,198021
42,Bless the Child,29381494,2000,0,7621,163983
43,Dancer in the Dark,4184036,2000,1,1843,168629
44,Titan A.E.,22753426,2000,1,1029,120913
45,Return to Me,32722798,2000,1,1190,122459
46,American Psycho,15070285,2000,0,64,144084
47,Red Planet,17480890,2000,0,15,199753
48,Wonder Boys,19393557,2000,0,8782,185014
49,Boiler Room,16970581,2000,0,625,181984
50,Center Stage,17200925,2000,1,1192,210616
51,Saving Grace,12178602,2000,1,3183,195234
52,Best in Show,18715392,2000,1,928,218839
53,Italian for Beginners,4544753,2000,1,4964,243862
54,Supernova,14230455,2000,1,6547,134983
55,Requiem for a Dream,3635482,2000,1,2050,180093
56,Girlfight,1565852,2000,1,1575,210075
57,Urbania,1032075,2000,0,2393,182508
58,Dark Days,309648,2000,0,5711,235327
59,Mad About Mambo,65283,2000,0,6039,156757
60,Southpaw,28365,2000,0,6366,1798684
61,Restless,18154,2000,1,2790,1498569
62,"Monsters, Inc.",255873250,2001,0,148,198781
63,Shrek,267665011,2001,0,161,126029
64,Pearl Harbor,198542554,2001,0,2675,213149
65,Jurassic Park III,181171875,2001,0,6333,163025
66,Planet of the Apes,180011740,2001,1,6218,133152
67,Hannibal,165092268,2001,1,4190,2243973
68,Rush Hour 2,226164286,2001,0,7493,266915
69,A Beautiful Mind,170742341,2001,0,178,268978
70,American Pie 2,145103595,2001,1,5560,252866
71,Spirited Away,10055859,2001,1,864,245429
72,Lara Croft: Tomb Raider,131168070,2001,0,412,146316
73,Vanilla Sky,100618344,2001,0,4693,259711
74,Atlantis: The Lost Empire,84056472,2001,0,1085,230011
75,Moulin Rouge!,57386607,2001,1,1769,203009
76,Dr. Dolittle 2,112952899,2001,1,3599,240462
77,Black Hawk Down,108638745,2001,0,698,265086
78,Spy Kids,112719001,2001,1,1904,227538
79,Swordfish,69772969,2001,0,6576,244244
80,Legally Blonde,96520674,2001,1,733,250494
81,Scary Movie 2,71308997,2001,1,6429,257106
82,Shallow Hal,70839203,2001,1,4058,256380
83,Save the Last Dance,91057006,2001,1,4796,206275
84,Training Day,76631907,2001,0,3503,139654
85,Jimmy Neutron: Boy Genius,80936232,2001,1,8737,268397
86,Evolution,38345494,2001,0,7347,4291590
87,I Am Sam,40311852,2001,1,5235,277027
88,Behind Enemy Lines,58856790,2001,0,7483,159273
89,Gosford Park,41308615,2001,1,1106,280707
90,Rat Race,56618055,2001,1,5426,250687
91,Blow,52990775,2001,0,4934,221027
92,Serendipity,50294317,2001,1,5452,240890
93,From Hell,31602566,2001,1,4792,120681
94,Brotherhood of the Wolf,11260096,2001,0,3317,237534
95,Thir13en Ghosts,41867960,2001,0,4957,245674
96,Not Another Teen Movie,38252284,2001,1,7009,277371
97,Sweet November,25288103,2001,0,8533,230838
98,K-PAX,50338485,2001,0,6687,272152
99,Kiss of the Dragon,36845124,2001,0,4444,271027
100,Zoolander,45172250,2001,1,1752,196229
101,Jeepers Creepers,37904175,2001,1,3451,263488
102,Heartbreakers,40336607,2001,1,5381,125022
103,In the Bedroom,35930604,2001,1,7960,247425
104,Shaolin Soccer,489600,2001,0,3555,286112
105,Memento,25544867,2001,0,52,209144
106,Valentine,20384136,2001,0,4639,242998
107,Riding in Cars with Boys,30165536,2001,1,5323,200027
108,Original Sin,16534221,2001,0,7654,218922
109,Jay and Silent Bob Strike Back,30085147,2001,1,155,261392
110,How High,31178740,2001,0,6924,278488
111,Monsoon Wedding,13885966,2001,1,553,265343
112,Heist,23510841,2001,1,5417,252503
113,Nowhere in Africa,6180200,2001,1,3766,161860
114,Amores Perros,5408467,2001,0,5792,245712
115,Antitrust,11328094,2001,0,154,218817
116,Jason X,13121555,2001,1,93,211443
117,Iris,5594617,2001,1,3026,1606618
118,Josie and the Pussycats,14271015,2001,1,235,236348
119,Together,1034829,2001,1,2723,203166
120,Freddy Got Fingered,14254993,2001,0,8783,240515
121,Osmosis Jones,13596911,2001,1,5006,181739
122,Ghosts of Mars,8709640,2001,1,333,228333
123,American Outlaws,13342790,2001,0,1112,244000
124,Kabhi Khushi Kabhie Gham...,2902000,2001,1,5933,248126
125,Sexy Beast,6946056,2001,0,1521,203119
126,Ghost World,6217849,2001,1,226,162346
127,Monkeybone,5411999,2001,1,3616,166276
128,Read My Lips,1471911,2001,1,4224,274117
129,Charlotte Gray,741394,2001,1,6129,245046
130,Glitter,4274407,2001,1,6785,118589
131,Hedwig and the Angry Inch,3067312,2001,1,2148,248845
132,Waking Life,2901447,2001,1,1009,243017
133,Songcatcher,3059834,2001,1,1897,210299
134,Innocence,2202382,2001,1,6668,1724965
135,Donnie Darko,517375,2001,1,887,246578
136,High Heels and Low Lifes,228194,2001,1,158,253126
137,Escanaba in da Moonlight,2276602,2001,0,1776,180679
138,Greenfingers,1443067,2001,1,1901,203540
139,Late Marriage,1656445,2001,0,2322,287471
140,L.I.E.,1138836,2001,0,4179,242587
141,Sordid Lives,1111273,2001,1,3963,204640
