title,year,rating,id,imdbid
1917,2019,0,8962,8579674
A Beautiful Day in the Neighborhood,2019,0,8911,3224458
A Dog&#39;s Journey,2019,1,8946,8385474
Abominable,2019,0,8889,6324278
Ad Astra,2019,0,8855,2935510
"Aeronauts, The",2019,1,8950,6141246
After,2019,1,8886,4126476
Aladdin,2019,1,8750,6139732
Alita: Battle Angel,2019,1,8642,0437086
Always Be My Maybe,2019,1,8760,7374948
American Woman,2019,1,8647,9109492
Animals,2019,1,8810,4426738
Anna,2019,1,8786,7456310
Annabelle Comes Home,2019,1,8775,8350360
Anya,2019,1,8968,7488288
"Art of Racing in the Rain, The",2019,0,8815,1478839
Article 15,2019,0,8778,10324144
Avengers: Endgame,2019,1,8720,4154796
Bacurau,2019,0,8857,2762506
Begotten III: Jesus Wept,2019,0,8798,0377091
Booksmart,2019,1,8747,1489887
Brightburn,2019,0,8765,7752126
Brittany Runs A Marathon,2019,1,8840,7671064
Canceled,2019,1,8864,9239816
Captain Marvel,2019,1,8668,4154664
Cats,2019,1,8941,5697572
Charlie&#39;s Angels,2019,1,8905,5033998
Clementine,2019,1,8912,7311036
Close,2019,1,8617,5316540
Cold Pursuit,2019,0,8639,5719748
Cosmos,2019,0,8972,4477292
Crawl,2019,1,8791,8364368
"Curse of La Llorona, The",2019,1,8722,4913966
Dark Phoenix,2019,1,8761,6565702
Descendants 3,2019,1,8816,8022928
Doctor Sleep,2019,1,8914,5606664
Dora and the Lost City of Gold,2019,1,8841,7547410
Downton Abbey,2019,1,8866,6398184
Effigy &#150;&nbsp;Poison and the City,2019,1,8777,9075008
"Farewell, The",2019,1,8807,8637428
Fast &amp; Furious Presents: Hobbs &amp; Shaw,2019,0,8808,6806448
Fighting with My Family,2019,1,8679,6513120
Five Feet Apart,2019,1,8813,6472976
For Sama,2019,1,8969,9617456
Ford v Ferrari,2019,0,8869,1950186
Frozen 2,2019,1,8916,4520988
Gemini Man,2019,0,8868,1025100
Gisaengchung,2019,1,8768,6751668
Godzilla: King of the Monsters,2019,1,8766,3741700
"Goldfinch, The",2019,0,8953,3864056
Good Boys,2019,0,8943,7343762
Guava Island,2019,0,8725,8858104
Gully Boy,2019,0,8699,2395469
Happy Death Day 2U,2019,1,8684,8155288
Harriet,2019,1,8892,4648786
Her Smell,2019,1,8940,7942742
How to Train Your Dragon: The Hidden World,2019,0,8607,2386490
"Hustle, The",2019,1,8741,1298644
Hustlers,2019,1,8870,5503686
I Am Mother,2019,1,8767,6292852
In the Tall Grass,2019,0,8978,4687108
"Irishman, The",2019,0,8915,1302006
Isn&#39;t It Romantic,2019,0,8659,2452244
It Chapter 2,2019,1,8895,7349950
Jawline,2019,0,8845,8499102
Jeanne,2019,1,8974,8669356
John Wick: Chapter 3 - Parabellum,2019,0,8755,6146586
Jojo Rabbit,2019,1,8903,2584384
Joker,2019,1,8863,7286456
"Kid Who Would Be King, The",2019,0,8615,6811018
Kim Possible,2019,1,8814,7979492
"King, The",2019,0,8881,7984766
Klaus,2019,0,8901,4729430
"Knight Before Christmas, The",2019,1,8902,10060094
Knives Out,2019,1,8907,8946378
Last Christmas,2019,1,8899,8623904
Late Night,2019,1,8764,6107548
"Laundromat, The",2019,1,8877,5865326
Le chant du loup,2019,0,8655,7458762
"Lego Movie 2: The Second Part, The",2019,1,8645,3513498
Les Miserables,2019,0,8918,10199590
"Lighthouse, The",2019,0,8894,7984734
"Lion King, The",2019,1,8790,6105098
Little Joe,2019,1,8967,9204204
Little Women,2019,1,8949,3281548
Luce,2019,1,8900,7616148
Lucy in the Sky,2019,1,8862,4682804
Ma,2019,1,8758,7958736
Maleficent: Mistress of Evil,2019,1,8876,4777008
Marriage Story,2019,0,8893,7653254
Midsommar,2019,1,8784,8772262
Midway,2019,0,8904,6924650
Miss Bala,2019,1,8728,5941692
Monos,2019,1,8948,6062774
Motherless Brooklyn,2019,1,8910,0385887
My Little Pony: Equestria Girls: Spring Breakdown,2019,1,8709,8734872
Nancy Drew and the Hidden Staircase,2019,1,8753,8323104
Once Upon a Time ... In Hollywood,2019,1,8804,7131622
Pentagram,2019,0,8852,7711764
"Perfect Date, The",2019,0,8763,8201170
Pet Sematary,2019,1,8824,0837563
Pokemon Detective Pikachu,2019,1,8740,5884052
Polar,2019,0,8616,4139588
Portrait of a Lady on Fire,2019,1,8882,8613070
Queen &amp; Slim,2019,0,8913,8722346
Rambo: Last Blood,2019,0,8942,1206885
Ready or Not,2019,1,8861,7798634
Rim of the World,2019,0,8749,8179388
Satanic Panic,2019,1,8934,8510350
Scary Stories to Tell in the Dark,2019,1,8867,3387520
See You Yesterday,2019,1,8834,8743064
Serenity,2019,0,8620,6476140
Shazam!,2019,1,8693,0448115
"Shiny Shrimps, The",2019,0,8975,6918220
"Silence, The",2019,1,8727,7315484
Someone Great,2019,1,8717,8075260
Soni,2019,1,8623,6078866
Spider-Man: Far from Home,2019,0,8781,6320628
Star Wars: Episode IX - The Rise of Skywalker,2019,1,8936,2527338
Steven Universe: The Movie,2019,1,8850,10515852
Sword of Trust,2019,1,8805,8484012
Tall Girl,2019,1,8853,9252508
Tekst,2019,0,8932,10767426
Terminator: Dark Fate,2019,1,8838,6450804
Tolkien,2019,0,8825,3361792
Toy Story 4,2019,1,8772,1979376
Triple Frontier,2019,0,8687,1488606
Troop Zero,2019,1,8970,2404465
Turma da Monica: Lacos,2019,0,8835,8169552
"Two Popes, The",2019,0,8956,8404614
Unbelievable,2019,1,8917,7909970
Uncut Gems,2019,0,8951,5727208
Une fille facile,2019,1,8976,9632590
Unplanned,2019,1,8742,9024106
Us,2019,1,8681,6857112
"Wandering Earth (Liu Lang Di Qiu), The",2019,1,8640,7605074
We Are Little Zombies,2019,0,8609,9358120
What Men Want,2019,0,8884,7634968
"Where&#39;d You Go, Bernadette",2019,1,8836,2365580
Wine Country,2019,1,8744,8169446
Yesterday,2019,0,8937,8079248
Zombieland: Double Tap,2019,1,8927,1560220
Zoombies 2,2019,1,8796,9670282
6 Balloons,2018,1,8396,6142496
A private war,2018,0,8651,2368254
A Quiet Place,2018,0,8157,6644200
A Simple Favor,2018,1,8420,7040874
A Star Is Born,2018,1,8430,1517451
A Wrinkle in Time,2018,1,8459,1620680
Alex Strangelove,2018,0,8298,5688996
Alpha,2018,0,8386,4244998
American Animals,2018,0,8317,6212478
An Elephant Sitting Still (Da xiang xi di er zuo),2018,0,8443,8020896
Andhadhun,2018,0,8730,8108198
Andid edlilega (And Breathe Normally),2018,1,8612,6776106
Annihilation,2018,1,8077,2798920
Ant-Man and the Wasp,2018,1,8318,5095030
